"","subjectNo","MathErrorTotal","OspanScore","OspanTotal","SpeedErrorTotal","AccErrorTotal","OspanPartialScore","OspanPartialBlock1","OspanPartialBlock2","OspanPartialBlock3","OspanAbsoluteScore","MathCorrect"
"1",1001,5,NA,NA,2,3,43,15,12,16,27,75
"2",1002,5,NA,NA,3,2,58,21,24,13,47,76
"3",1003,3,NA,NA,2,1,67,22,25,20,56,78
"4",1004,5,NA,NA,4,1,70,23,22,25,62,76
"5",1005,2,NA,NA,0,2,57,18,16,23,30,79
"6",1006,3,NA,NA,1,2,71,23,25,23,61,77
"7",1007,15,NA,NA,7,8,15,14,1,0,12,65
"8",1008,2,NA,NA,0,2,70,24,25,21,59,79
"9",1009,5,NA,NA,2,3,56,21,16,19,38,72
"10",1010,3,NA,NA,0,3,75,25,25,25,75,78
"11",1011,6,NA,NA,1,5,41,16,17,8,24,72
"12",1012,9,NA,NA,2,7,53,18,12,23,32,72
"13",1013,2,NA,NA,0,2,67,21,25,21,56,78
"14",1014,5,NA,NA,0,5,65,20,24,21,46,76
"15",1015,2,NA,NA,1,1,74,25,25,24,68,79
"16",1016,5,NA,NA,3,2,53,19,16,18,32,73
"17",1017,14,NA,NA,4,10,52,15,22,15,24,67
"18",1018,5,NA,NA,0,5,67,21,25,21,62,76
"19",1019,5,NA,NA,0,5,37,16,11,10,4,76
"20",1020,7,NA,NA,4,3,61,20,19,22,49,73
"21",1021,18,NA,NA,1,17,51,18,14,19,29,62
"22",1022,3,NA,NA,1,2,51,15,17,19,30,78
"23",1023,8,NA,NA,0,8,54,17,15,22,35,72
"24",1024,4,NA,NA,0,4,74,24,25,25,72,75
"25",1025,2,NA,NA,0,2,44,17,12,15,31,79
"26",1026,5,NA,NA,1,4,60,21,25,14,51,76
"27",1027,0,NA,NA,0,0,32,9,11,12,9,81
"28",1028,6,NA,NA,3,3,54,17,19,18,28,75
"29",1029,6,NA,NA,4,2,61,21,18,22,37,75
"30",1030,6,NA,NA,1,5,63,17,23,23,40,75
"31",1031,4,NA,NA,1,3,23,5,5,13,13,75
"32",1032,21,NA,NA,9,12,55,25,10,20,42,58
"33",1033,5,NA,NA,3,2,72,25,22,25,68,75
"34",1034,4,NA,NA,2,2,55,22,14,19,28,77
"35",1035,5,NA,NA,1,4,68,25,25,18,54,76
"36",1036,4,NA,NA,2,2,65,25,19,21,49,77
"37",1037,6,NA,NA,4,2,46,19,13,14,25,75
"38",1038,7,NA,NA,0,7,74,25,24,25,68,73
"39",1039,5,NA,NA,2,3,68,20,23,25,61,76
"40",1042,3,NA,NA,0,3,73,25,23,25,68,77
"41",1043,0,NA,NA,0,0,64,20,22,22,50,81
"42",1044,5,NA,NA,4,1,64,19,23,22,57,76
"43",1045,9,NA,NA,1,8,12,9,1,2,0,70
"44",1046,3,NA,NA,1,2,58,20,19,19,37,78
"45",1047,3,NA,NA,0,3,59,18,24,17,33,74
"46",1048,6,NA,NA,4,2,70,24,21,25,61,75
"47",1049,6,NA,NA,4,2,60,16,20,24,41,73
"48",1050,4,NA,NA,0,4,25,14,4,7,8,77
"49",1051,15,NA,NA,6,9,23,13,7,3,0,66
"50",1052,13,NA,NA,6,7,54,22,16,16,24,68
"51",1053,0,NA,NA,0,0,71,23,25,23,61,81
"52",1054,4,NA,NA,1,3,70,25,20,25,68,77
"53",1055,9,NA,NA,3,6,58,19,20,19,34,72
"54",1056,2,NA,NA,0,2,67,23,21,23,50,79
"55",1057,5,NA,NA,1,4,5,3,1,1,0,76
"56",1058,5,NA,NA,0,5,49,11,18,20,24,73
"57",1300,3,NA,NA,0,3,74,25,24,25,68,78
"58",1301,4,NA,NA,1,3,71,22,24,25,61,74
"59",1302,14,NA,NA,5,9,48,15,15,18,23,65
"60",1303,6,NA,NA,2,4,54,15,23,16,42,74
"61",1304,9,NA,NA,1,8,69,22,22,25,62,71
"62",1305,11,NA,NA,2,9,40,20,11,9,24,70
"63",1306,33,NA,NA,4,29,40,14,18,8,16,45
"64",1307,4,NA,NA,2,2,62,23,21,18,44,77
"65",1308,2,NA,NA,1,1,75,25,25,25,75,79
"66",1309,4,NA,NA,0,4,75,25,25,25,75,77
"67",1310,4,NA,NA,1,3,67,25,22,20,51,76
"68",1311,4,NA,NA,0,4,65,22,21,22,49,77
"69",1312,3,NA,NA,1,2,70,20,25,25,62,78
"70",500,5,NA,NA,2,3,69,20,25,24,63,76
"71",501,2,NA,NA,1,1,64,18,23,23,49,79
"72",502,3,NA,NA,0,3,68,18,25,25,63,78
"73",503,3,NA,NA,2,1,50,12,21,17,27,77
"74",504,12,NA,NA,0,12,63,22,23,18,38,68
"75",505,7,NA,NA,3,4,26,15,10,1,21,72
"76",506,9,NA,NA,3,6,64,21,21,22,43,72
"77",507,8,NA,NA,5,3,68,25,20,23,60,72
"78",508,7,NA,NA,4,3,62,17,25,20,55,73
"79",509,5,NA,NA,1,4,71,21,25,25,65,76
"80",510,0,NA,NA,0,0,50,15,17,18,28,80
"81",511,5,NA,NA,1,4,74,25,24,25,68,75
"82",512,4,NA,NA,1,3,67,24,18,25,57,77
"83",513,5,NA,NA,0,5,66,25,18,23,52,76
"84",514,10,NA,NA,2,8,58,14,20,24,38,69
"85",515,2,NA,NA,0,2,75,25,25,25,75,79
"86",516,4,NA,NA,1,3,59,22,15,22,37,77
"87",517,2,NA,NA,0,2,75,25,25,25,75,76
"88",518,2,NA,NA,0,2,59,19,23,17,42,79
"89",519,4,NA,NA,2,2,62,21,20,21,55,77
"90",520,3,NA,NA,1,2,68,22,25,21,55,78
"91",521,8,NA,NA,1,7,62,22,23,17,40,72
"92",522,3,NA,NA,1,2,68,22,22,24,51,78
"93",523,8,NA,NA,3,5,64,20,22,22,49,72
"94",524,5,NA,NA,1,4,59,23,18,18,43,76
"95",525,7,NA,NA,4,3,51,19,14,18,38,74
"96",526,7,NA,NA,0,7,60,20,20,20,42,74
"97",527,3,NA,NA,0,3,59,18,17,24,43,78
"98",528,6,NA,NA,3,3,59,17,20,22,45,75
"99",529,1,NA,NA,0,1,70,22,23,25,61,80
"100",530,5,NA,NA,1,4,51,17,20,14,34,76
"101",531,7,NA,NA,2,5,65,20,22,23,54,72
"102",532,6,NA,NA,0,6,61,19,25,17,50,75
"103",533,8,NA,NA,5,3,70,24,23,23,54,71
"104",534,1,NA,NA,0,1,72,23,25,24,62,80
"105",535,0,NA,NA,0,0,52,15,14,23,35,81
"106",536,5,NA,NA,2,3,63,25,20,18,55,76
"107",537,1,NA,NA,0,1,52,21,15,16,34,80
"108",538,22,NA,NA,14,8,45,18,16,11,21,56
"109",539,4,NA,NA,0,4,72,25,24,23,64,76
"110",540,6,NA,NA,1,5,49,21,16,12,33,75
"111",541,1,NA,NA,0,1,73,25,23,25,69,78
"112",542,1,NA,NA,0,1,71,21,25,25,63,80
"113",543,5,NA,NA,0,5,67,21,22,24,42,76
"114",544,6,NA,NA,2,4,67,19,23,25,55,75
"115",545,6,NA,NA,1,5,70,25,22,23,57,75
"116",546,6,NA,NA,1,5,37,15,18,4,22,75
"117",547,10,NA,NA,4,6,16,5,10,1,8,69
"118",548,8,NA,NA,2,6,53,19,14,20,31,70
"119",549,2,NA,NA,1,1,75,25,25,25,75,79
"120",550,5,NA,NA,2,3,68,23,22,23,47,75
"121",551,3,NA,NA,0,3,74,24,25,25,68,78
"122",552,5,NA,NA,2,3,73,25,25,23,68,76
"123",553,6,NA,NA,5,1,74,25,25,24,68,73
"124",554,1,NA,NA,0,1,61,21,21,19,39,80
"125",555,9,NA,NA,3,6,51,23,14,14,34,72
"126",700,2,NA,NA,1,1,64,23,19,22,46,79
"127",701,6,NA,NA,4,2,73,23,25,25,68,75
"128",702,3,NA,NA,3,0,68,21,22,25,63,77
"129",703,5,NA,NA,1,4,69,21,23,25,55,76
"130",704,6,NA,NA,1,5,46,8,16,22,15,74
"131",705,4,NA,NA,2,2,57,17,17,23,26,77
"132",706,7,NA,NA,4,3,42,7,19,16,26,74
"133",707,5,NA,NA,0,5,71,23,25,23,56,76
"134",708,10,NA,NA,2,8,58,22,18,18,42,70
"135",709,7,NA,NA,5,2,67,25,18,24,63,74
"136",710,6,NA,NA,3,3,72,24,25,23,58,75
"137",711,8,NA,NA,0,8,58,18,20,20,45,73
"138",712,8,NA,NA,4,4,21,11,5,5,3,73
"139",713,2,NA,NA,1,1,68,25,19,24,63,79
"140",714,8,NA,NA,3,5,59,20,22,17,33,73
"141",715,7,NA,NA,5,2,65,19,24,22,44,71
"142",716,11,NA,NA,5,6,57,15,24,18,45,68
"143",717,2,NA,NA,2,0,61,16,24,21,37,79
"144",718,9,NA,NA,1,8,47,12,17,18,25,71
"145",719,5,NA,NA,3,2,64,21,22,21,52,76
"146",720,2,NA,NA,0,2,75,25,25,25,75,79
"147",721,3,NA,NA,1,2,75,25,25,25,75,78
"148",722,2,NA,NA,0,2,73,23,25,25,69,79
"149",723,17,NA,NA,10,7,38,15,19,4,29,64
"150",724,4,NA,NA,0,4,61,21,20,20,42,77
"151",725,5,NA,NA,3,2,66,19,25,22,55,76
"152",726,6,NA,NA,2,4,58,20,18,20,37,75
"153",727,10,NA,NA,2,8,38,16,8,14,7,70
"154",728,2,NA,NA,0,2,72,23,24,25,61,79
"155",729,1,NA,NA,0,1,70,25,22,23,59,80
"156",730,5,NA,NA,2,3,59,23,18,18,35,76
"157",731,5,NA,NA,0,5,57,15,18,24,43,75
"158",732,4,NA,NA,2,2,71,25,22,24,63,77
"159",733,15,NA,NA,9,6,43,23,16,4,22,65
"160",734,5,NA,NA,0,5,54,19,18,17,39,76
"161",735,2,NA,NA,0,2,73,23,25,25,68,79
"162",736,14,NA,NA,0,14,59,23,19,17,40,67
"163",737,5,NA,NA,0,5,6,1,3,2,0,74
"164",738,7,NA,NA,1,6,62,22,20,20,54,73
"165",739,11,NA,NA,9,2,70,24,25,21,62,69
"166",740,5,NA,NA,2,3,69,24,24,21,58,75
"167",741,7,NA,NA,0,7,65,21,24,20,44,74
"168",742,12,NA,NA,5,7,68,19,25,24,62,68
"169",900,4,NA,NA,3,1,63,20,21,22,37,77
"170",901,15,NA,NA,4,11,59,23,22,14,53,65
"171",902,3,NA,NA,1,2,70,24,25,21,58,78
"172",903,1,NA,NA,0,1,71,25,21,25,62,80
"173",904,11,NA,NA,2,9,29,12,5,12,10,68
"174",905,5,NA,NA,3,2,41,12,12,17,19,75
"175",906,6,NA,NA,1,5,48,11,21,16,28,75
"176",907,3,NA,NA,0,3,75,25,25,25,75,77
"177",908,4,NA,NA,0,4,67,18,24,25,55,77
"178",909,15,NA,NA,7,8,29,14,11,4,4,66
"179",910,5,NA,NA,0,5,61,22,18,21,48,75
"180",911,4,NA,NA,1,3,39,12,18,9,19,76
"181",912,4,NA,NA,2,2,6,4,1,1,0,77
"182",913,3,NA,NA,0,3,41,10,16,15,24,78
"183",914,2,NA,NA,0,2,65,18,22,25,55,79
"184",915,8,NA,NA,1,7,67,24,18,25,55,71
"185",916,12,NA,NA,5,7,12,3,9,0,3,66
"186",917,2,NA,NA,0,2,56,20,15,21,43,79
"187",918,15,NA,NA,3,12,38,14,10,14,23,64
"188",919,4,NA,NA,1,3,33,14,6,13,19,77
"189",920,3,NA,NA,0,3,66,23,25,18,56,78
"190",921,4,NA,NA,0,4,73,24,24,25,63,77
"191",922,11,NA,NA,6,5,39,18,12,9,21,69
"192",923,10,NA,NA,7,3,67,20,24,23,60,69
"193",924,2,NA,NA,0,2,74,25,24,25,69,79
"194",925,6,NA,NA,2,4,26,17,4,5,13,75
"195",926,2,NA,NA,0,2,59,20,21,18,39,78
"196",927,4,NA,NA,1,3,44,22,15,7,26,76
"197",928,3,NA,NA,1,2,67,24,22,21,45,78
"198",929,3,NA,NA,0,3,64,19,24,21,48,78
"199",930,2,NA,NA,0,2,69,20,24,25,56,78
"200",931,11,NA,NA,2,9,45,18,15,12,25,70
"201",932,11,NA,NA,3,8,24,12,8,4,6,70
"202",933,13,NA,NA,3,10,44,13,13,18,34,68
"203",934,2,NA,NA,0,2,10,4,1,5,0,79
"204",935,6,NA,NA,5,1,58,17,22,19,38,75
"205",936,5,NA,NA,2,3,21,8,2,11,6,75
"206",937,2,NA,NA,1,1,73,25,23,25,69,79
"207",938,5,NA,NA,0,5,17,7,7,3,4,75
"208",939,4,NA,NA,0,4,64,20,22,22,34,77
"209",940,4,NA,NA,1,3,29,10,17,2,13,77
"210",941,5,NA,NA,2,3,29,14,5,10,6,73
"211",942,8,NA,NA,2,6,45,13,16,16,33,72
"212",943,2,NA,NA,0,2,54,15,23,16,32,79
"213",945,3,NA,NA,1,2,55,18,19,18,34,78
"214",946,2,NA,NA,1,1,40,10,14,16,20,77
"215",947,16,NA,NA,9,7,54,21,16,17,27,61
"216",948,8,NA,NA,2,6,63,21,19,23,40,73
"217",949,4,NA,NA,1,3,62,23,20,19,40,77
"218",950,5,NA,NA,1,4,17,7,4,6,0,76
"219",951,11,NA,NA,1,10,22,8,8,6,4,66
"220",952,10,NA,NA,6,4,64,16,23,25,49,70
"221",953,9,NA,NA,3,6,56,16,17,23,27,72
"222",954,7,NA,NA,2,5,28,11,16,1,11,71
"223",955,8,NA,NA,1,7,12,8,1,3,3,73
"224",956,7,NA,NA,0,7,56,18,16,22,42,73
"225",957,2,NA,NA,1,1,65,21,23,21,48,79
"226",958,3,NA,NA,2,1,47,15,15,17,29,77
"227",959,12,NA,NA,10,2,42,13,15,14,6,66
"228",960,6,NA,NA,1,5,45,16,12,17,20,75
"229",961,1,NA,NA,0,1,2,0,1,1,0,79
"230",962,7,NA,NA,5,2,56,20,21,15,32,74
"231",963,0,NA,NA,0,0,71,25,23,23,61,81
"232",964,2,NA,NA,1,1,72,22,25,25,68,77
"233",965,6,NA,NA,4,2,50,15,15,20,26,74
"234",966,7,NA,NA,0,7,72,25,24,23,63,74
"235",967,4,NA,NA,0,4,27,5,13,9,14,77
"236",968,19,NA,NA,8,11,45,13,17,15,19,58
"237",969,8,NA,NA,1,7,39,14,11,14,12,73
"238",970,29,NA,NA,4,25,56,25,21,10,48,49
"239",971,10,NA,NA,1,9,66,20,21,25,61,71
"240",972,8,NA,NA,3,5,44,14,18,12,18,71
"241",973,10,NA,NA,2,8,59,18,20,21,42,70
"242",974,4,NA,NA,0,4,14,3,8,3,3,76
"243",975,7,NA,NA,0,7,71,24,23,24,54,74
"244",977,0,NA,NA,0,0,71,23,23,25,63,81
"245",978,1,NA,NA,0,1,57,20,14,23,30,80
"246",979,7,NA,NA,2,5,8,5,1,2,0,74
"247",980,9,NA,NA,3,6,29,18,11,0,23,72
"248",981,9,NA,NA,8,1,58,21,16,21,37,71
"249",982,1,NA,NA,0,1,75,25,25,25,75,79
"250",983,12,NA,NA,7,5,30,12,13,5,7,66
"251",984,7,NA,NA,3,4,62,15,23,24,41,74
"252",985,6,NA,NA,1,5,69,21,25,23,61,75
"253",986,4,NA,NA,0,4,18,8,6,4,3,76
"254",987,9,NA,NA,4,5,26,13,1,12,12,72
