"","subjectNo","tSpanPartialScore","tsMathErrorTotal","tspanPartialBlock1","tspanPartialBlock2","tspanPartialBlock3","tsAccErrorTotal","tsSpeedErrorTotal","tsAbsoluteScore","tsStrats"
"62",1303,71,1,23,23,25,1,0,63,"{CAPSLOCK}I{CAPSLOCK}{SPACE}used{SPACE}three{SPACE}fingers{SPACE}after{SPACE}each{SPACE}math{SPACE}problem{SPACE}and{SPACE}if{SPACE}the{SPACE}tone{SPACE}was{SPACE}high{,}medium{,}or{SPACE}low{SPACE}i{SPACE}would{SPACE}place{SPACE}my{SPACE}fingers{SPACE}according{SPACE}to{SPACE}the{SPACE}tone{.}{SPACE}{CAPSLOCK}S{CAPSLOCK}o{SPACE}if{SPACE}my{SPACE}first{SPACE}tone{SPACE}is{SPACE}high{,}{SPACE}my{SPACE}first{SPACE}finger{SPACE}will{SPACE}be{SPACE}the{SPACE}place{SPACE}at{SPACE}the{SPACE}highest{SPACE}part{SPACE}on{SPACE}the{SPACE}table{,}{SPACE}then{SPACE}if{SPACE}my{SPACE}second{SPACE}tone{SPACE}is{SPACE}low{,}{SPACE}my{SPACE}second{SPACE}finger{SPACE}will{SPACE}be{SPACE}the{SPACE}lowest{SPACE}height{.}{SPACE}{CAPSLOCK}F{CAPSLOCK}or{SPACE}the{SPACE}repeat{SPACE}tones{,}{SPACE}i{SPACE}would{SPACE}tap{SPACE}my{SPACE}fingers{ENTER}"
"63",1304,63,7,20,23,20,6,1,44,"{SHIFT}I{SPACE}used{SPACE}the{SPACE}fingers{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{SPACE}as{SPACE}if{SPACE}i{SPACE}was{SPACE}playing{SPACE}three{SPACE}different{SPACE}notes{SPACE}on{SPACE}a{SPACE}piano{SPACE}to{SPACE}help{SPACE}remember{SPACE}the{SPACE}patterns{SPACE}and{SPACE}tones{.}{ENTER}"
"64",1305,60,6,19,22,19,4,2,50,"{ENTER}"
"65",1306,44,2,11,16,17,2,0,18,"i{SPACE}would{SPACE}repaet{SPACE}the{SPACE}sounds{SPACE}in{SPACE}my{SPACE}head{SPACE}as{SPACE}i{SPACE}would{SPACE}say{SPACE}them{SPACE}as{SPACE}a{SPACE}new{SPACE}one{SPACE}would{SPACE}come{SPACE}so{SPACE}i{SPACE}would{SPACE}always{SPACE}be{SPACE}repeating{SPACE}also{SPACE}counting{SPACE}them{SPACE}so{SPACE}i{SPACE}dont{SPACE}forget{SPACE}how{SPACE}many{SPACE}notes{SPACE}were{SPACE}played{ENTER}"
"66",1307,55,1,22,22,11,1,0,37,"{SHIFT}After{SPACE}every{SPACE}problem{SPACE}{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}sequence{SPACE}of{SPACE}the{SPACE}tone{SPACE}that{SPACE}was{SPACE}played{SPACE}and{SPACE}tried{SPACE}to{SPACE}repeat{SPACE}it{SPACE}before{SPACE}solving{SPACE}each{SPACE}problem{SPACE}so{SPACE}that{SPACE}{SHIFT}I{SPACE}can{SPACE}continue{SPACE}to{SPACE}remember{SPACE}the{SPACE}order{ENTER}"
"67",1308,75,4,25,25,25,2,2,75,"{SHIFT}I{SPACE}used{SPACE}three{SPACE}fingers{SPACE}of{SPACE}my{SPACE}left{SPACE}hand{SPACE}to{SPACE}represent{SPACE}each{SPACE}pitch{SPACE}and{SPACE}{SHIFT}I{SPACE}would{SPACE}tap{SPACE}out{SPACE}the{SPACE}sequence{SPACE}as{SPACE}well{SPACE}as{SPACE}saying{SPACE}it{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"68",1309,72,0,22,25,25,0,0,70,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}left{SPACE}pinky{,}{SPACE}middle{SPACE}finger{,}{SPACE}and{SPACE}thumb{SPACE}to{SPACE}designate{SPACE}the{SPACE}{SHIFT}{SHIFT}low{,}{SPACE}middle{,}{SPACE}and{SPACE}high{SPACE}tones{SPACE}respectively{.}{SPACE}{SHIFT}I{SPACE}then{SPACE}{SHIFT}would{SPACE}repeat{SPACE}the{SPACE}pattern{SPACE}one{SPACE}time{SPACE}before{SPACE}each{SPACE}math{SPACE}problem{.}{SPACE}{ENTER}"
"69",1310,53,7,18,17,18,6,1,37,"{SHIFT}I{SPACE}kept{SPACE}track{SPACE}of{SPACE}how{SPACE}many{SPACE}tones{SPACE}there{SPACE}were{SPACE}on{SPACE}my{SPACE}fingers{SPACE}as{SPACE}{SHIFT}I{SPACE}went{.}{SPACE}{SHIFT}I{SPACE}also{SPACE}repeated{SPACE}them{SPACE}as{SPACE}a{SPACE}sequence{SPACE}in{SPACE}my{SPACE}head{SPACE}while{SPACE}solving{SPACE}the{SPACE}math{SPACE}problems{SPACE}{SHIFT}{(}{SHIFT}{QUOTE}low{-}middle{-}high{,}{SPACE}repeated{SPACE}until{SPACE}it{SPACE}was{SPACE}time{SPACE}to{SPACE}input{SPACE}the{SPACE}answer{SHIFT}{)}{.}{ENTER}"
"70",1311,49,4,16,13,20,3,1,38,"{SHIFT}whenever{SPACE}each{SPACE}tone{SPACE}was{SPACE}played{SPACE}{SHIFT}I{SPACE}would{SPACE}mouth{SPACE}the{SPACE}word{SPACE}of{SPACE}the{SPACE}pitch{SPACE}{SHIFT}{QUOTE}{SHIFT}{QUOTE}high{.}{.}{SPACE}low{.}{.}{SPACE}medium{.}{.}{SPACE}etc{.}{SPACE}and{SPACE}each{SPACE}time{SPACE}a{SPACE}new{SPACE}pitch{SPACE}was{SPACE}played{SPACE}{SHIFT}I{SPACE}was{SPACE}repeat{SPACE}the{SPACE}pitch{SPACE}from{SPACE}the{SPACE}beginning{SPACE}and{SPACE}add{SPACE}the{SPACE}new{SPACE}one{SPACE}to{SPACE}it{.}{SPACE}{SHIFT}Like{SPACE}{SHIFT}I{SPACE}was{SPACE}listing{SPACE}something{.}{SPACE}{SHIFT}It{SPACE}also{SPACE}helped{SPACE}me{SPACE}to{SPACE}keep{SPACE}track{SPACE}on{SPACE}my{SPACE}hand{SPACE}how{SPACE}many{SPACE}tones{SPACE}were{SPACE}played{.}{ENTER}"
"71",1312,53,8,13,18,22,5,3,32,"{SHIFT}I{SPACE}just{SPACE}memorized{SPACE}the{SPACE}order{SPACE}using{SPACE}the{SPACE}first{SPACE}letters{SPACE}{SHIFT}H{,}{SHIFT}{SHIFT}M{,}{SHIFT}L{,}{SPACE}etc{.}{SPACE}{SHIFT}I{SPACE}also{SPACE}would{SPACE}think{SPACE}of{SPACE}m{SPACE}n{SPACE}m{SPACE}candies{SPACE}if{SPACE}{SHIFT}I{SPACE}heard{SPACE}m{SPACE}before{SPACE}h{,}{SPACE}or{SPACE}think{SPACE}of{SPACE}the{SPACE}store{SPACE}h{SPACE}and{SPACE}m{SPACE}if{SPACE}{SHIFT}I{SPACE}heard{SPACE}h{SPACE}before{SPACE}m{.}{SPACE}{ENTER}"
"72",500,72,7,24,25,23,6,1,62,"No Data Collected"
"73",501,57,2,17,19,21,2,0,41,"No Data Collected"
"74",502,65,3,22,19,24,2,1,48,"No Data Collected"
"75",503,64,4,25,18,21,0,4,46,"No Data Collected"
"76",504,73,12,24,25,24,9,3,62,"No Data Collected"
"77",505,15,1,4,9,2,1,0,3,"No Data Collected"
"78",506,59,6,16,25,18,6,0,51,"No Data Collected"
"79",507,71,2,25,25,21,2,0,62,"No Data Collected"
"80",508,56,5,21,19,16,4,1,28,"No Data Collected"
"81",509,63,7,18,22,23,7,0,45,"No Data Collected"
"82",510,48,2,15,18,15,2,0,23,"No Data Collected"
"83",511,68,4,20,25,23,2,2,61,"No Data Collected"
"84",512,58,8,18,18,22,5,3,43,"No Data Collected"
"85",513,73,4,23,25,25,4,0,69,"No Data Collected"
"86",514,63,6,16,22,25,5,1,56,"No Data Collected"
"87",515,62,5,20,23,19,3,2,43,"No Data Collected"
"88",516,64,5,20,20,24,4,1,47,"No Data Collected"
"89",517,68,1,23,20,25,1,0,55,"No Data Collected"
"90",518,65,2,18,23,24,2,0,39,"No Data Collected"
"91",519,66,2,17,25,24,1,1,52,"No Data Collected"
"92",520,67,7,21,22,24,5,2,48,"No Data Collected"
"93",521,60,6,20,19,21,5,1,22,"No Data Collected"
"94",522,69,3,25,19,25,2,1,63,"No Data Collected"
"95",523,61,5,18,20,23,5,0,43,"No Data Collected"
"96",524,50,2,10,19,21,2,0,26,"No Data Collected"
"97",525,68,3,20,24,24,2,1,49,"No Data Collected"
"98",526,57,11,17,18,22,11,0,19,"No Data Collected"
"99",527,49,9,17,10,22,8,1,29,"No Data Collected"
"100",528,64,3,23,18,23,2,1,44,"No Data Collected"
"101",529,57,8,18,17,22,6,2,28,"No Data Collected"
"102",530,69,2,21,23,25,2,0,56,"No Data Collected"
"103",531,70,7,23,22,25,5,2,66,"No Data Collected"
"104",532,47,5,12,13,22,5,0,22,"No Data Collected"
"105",533,64,9,20,20,24,5,4,51,"No Data Collected"
"106",534,63,7,19,22,22,2,5,42,"No Data Collected"
"107",535,44,3,17,12,15,3,0,18,"No Data Collected"
"108",536,69,5,22,22,25,4,1,49,"No Data Collected"
"109",537,50,7,19,16,15,6,1,32,"No Data Collected"
"110",538,52,5,14,19,19,4,1,17,"No Data Collected"
"111",539,66,10,17,24,25,7,3,57,"No Data Collected"
"112",540,67,3,21,23,23,2,1,48,"No Data Collected"
"113",541,57,1,19,19,19,0,1,31,"No Data Collected"
"114",542,74,4,24,25,25,3,1,68,"No Data Collected"
"115",543,30,6,10,11,9,3,3,7,"No Data Collected"
"116",544,52,1,14,21,17,1,0,30,"No Data Collected"
"117",545,65,8,23,21,21,7,1,51,"No Data Collected"
"118",546,24,6,10,7,7,4,2,4,"No Data Collected"
"119",547,43,13,16,8,19,11,2,21,"No Data Collected"
"120",548,61,9,19,17,25,8,1,51,"No Data Collected"
"121",549,72,8,24,25,23,7,1,61,"No Data Collected"
"122",550,70,4,20,25,25,3,1,64,"No Data Collected"
"123",551,74,1,25,24,25,1,0,68,"No Data Collected"
"124",552,71,2,25,24,22,1,1,61,"No Data Collected"
"125",553,55,3,17,18,20,1,2,34,"No Data Collected"
"126",554,64,0,19,20,25,0,0,56,"No Data Collected"
"127",555,59,4,19,21,19,4,0,33,"No Data Collected"
"128",556,43,10,11,13,19,7,3,15,"No Data Collected"
"129",700,65,4,20,25,20,3,1,50,"No Data Collected"
"130",701,66,5,22,19,25,3,2,50,"No Data Collected"
"131",702,66,5,22,22,22,5,0,56,"No Data Collected"
"132",703,69,10,22,22,25,7,3,61,"No Data Collected"
"133",704,63,5,19,25,19,5,0,46,"No Data Collected"
"134",705,53,10,17,16,20,7,3,39,"No Data Collected"
"135",706,63,5,17,22,24,4,1,51,"No Data Collected"
"136",707,62,3,18,21,23,2,1,45,"No Data Collected"
"137",708,50,9,15,17,18,8,1,23,"No Data Collected"
"138",709,61,4,25,21,15,3,1,50,"No Data Collected"
"139",710,35,7,12,14,9,5,2,4,"No Data Collected"
"140",711,49,4,13,16,20,4,0,29,"No Data Collected"
"141",712,57,8,17,16,24,4,4,30,"No Data Collected"
"142",713,59,4,15,19,25,4,0,40,"No Data Collected"
"143",714,57,5,13,23,21,5,0,50,"No Data Collected"
"144",715,75,5,25,25,25,5,0,75,"No Data Collected"
"145",716,66,5,24,21,21,3,2,54,"No Data Collected"
"146",717,61,5,25,18,18,4,1,49,"No Data Collected"
"147",718,55,4,19,19,17,2,2,38,"No Data Collected"
"148",719,68,3,21,22,25,3,0,50,"No Data Collected"
"149",720,63,5,20,21,22,2,3,37,"No Data Collected"
"150",721,60,6,19,20,21,4,2,41,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}fingers{SPACE}as{SPACE}if{SPACE}{SHIFT}I{SPACE}were{SPACE}playing{SPACE}piano{SPACE}with{SPACE}the{SPACE}low{SPACE}being{SPACE}my{SPACE}left{SPACE}pinkie{,}{SPACE}the{SPACE}middle{SPACE}being{SPACE}my{SPACE}left{SPACE}middle{SPACE}finger{,}{SPACE}and{SPACE}the{SPACE}high{SPACE}being{SPACE}my{SPACE}left{SPACE}thumb{SPACE}pressing{SPACE}them{SPACE}on{SPACE}the{SPACE}table{SPACE}when{SPACE}i{SPACE}heard{SPACE}the{SPACE}sounds{.}{SPACE}{ENTER}"
"151",722,69,9,22,22,25,6,3,61,"{ENTER}"
"152",723,61,6,16,20,25,4,2,47,"{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}pitches{SPACE}while{SPACE}solving{SPACE}the{SPACE}math{SPACE}problems{.}{SPACE}{SHIFT}I{SPACE}was{SPACE}solving{SPACE}the{SPACE}math{SPACE}problems{SPACE}in{SPACE}the{SPACE}back{SPACE}of{SPACE}my{SPACE}mind{,}{SPACE}not{SPACE}putting{SPACE}as{SPACE}much{SPACE}effort{SPACE}into{SPACE}that{SPACE}as{SPACE}much{SPACE}as{SPACE}{SHIFT}I{SPACE}was{SPACE}memorizing{SPACE}the{SPACE}pitches{.}{ENTER}"
"153",724,62,6,20,23,19,5,1,43,"{ENTER}"
"154",725,67,4,22,25,20,1,3,62,"{SHIFT}For{SPACE}the{SPACE}most{SPACE}part{SPACE}{SHIFT}I{SPACE}could{SPACE}remember{SPACE}the{SPACE}shape{SPACE}of{SPACE}the{SPACE}line{SPACE}between{SPACE}tones{.}{SPACE}{SHIFT}{SHIFT}The{SPACE}pattern{SPACE}of{SPACE}{SHIFT}Low{SPACE}{SHIFT}High{SPACE}{SHIFT}Middle{SPACE}{SHIFT}I{SPACE}remember{SPACE}as{SPACE}{SHIFT}the{SPACE}{SHIFT}NBC{SPACE}tune{.}{SPACE}{SHIFT}But{SPACE}{SHIFT}I{SPACE}for{SPACE}the{SPACE}most{SPACE}part{SPACE}just{SPACE}got{SPACE}the{SPACE}contour{SPACE}of{SPACE}the{SPACE}series{,}{SPACE}which{SPACE}is{SPACE}simple{SPACE}with{SPACE}only{SPACE}three{SPACE}tones{.}{SPACE}{SHIFT}It{SPACE}would{SPACE}be{SPACE}much{SPACE}more{SPACE}difficult{SPACE}if{SPACE}there{SPACE}were{SPACE}any{SPACE}more{.}{SPACE}{SHIFT}{ENTER}"
"155",726,58,3,16,20,22,3,0,33,"{SHIFT}I{SPACE}sped{SPACE}up{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}to{SPACE}bunch{SPACE}them{SPACE}together{.}{SPACE}{SHIFT}I{SPACE}also{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}feel{SPACE}the{SPACE}pattern{SPACE}in{SPACE}an{SPACE}imaginary{SPACE}piano{SPACE}on{SPACE}the{SPACE}desk{.}{SPACE}{ENTER}"
"156",727,69,6,22,22,25,4,2,58,"{SHIFT}I{SPACE}had{SPACE}a{SPACE}counting{SPACE}system{SPACE}for{SPACE}the{SPACE}tones{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{.}{SPACE}{SHIFT}A{SPACE}finger{SPACE}folded{SPACE}in{SPACE}was{SPACE}{SHIFT}low{,}{SPACE}bent{SPACE}was{SPACE}medium{,}{SPACE}stretched{SPACE}was{SPACE}high{ENTER}"
"157",728,63,3,17,21,25,2,1,50,"i{SPACE}used{SPACE}visual{SPACE}references{,}{SPACE}so{SPACE}low{SPACE}was{SPACE}left{,}{SPACE}mid{SPACE}was{SPACE}middle{SPACE}and{SPACE}high{SPACE}was{SPACE}right{.}{SPACE}{SHIFT}{SHIFT}{SHIFT}{SHIFT}{SHIFT}MLH{SPACE}was{SPACE}easier{SPACE}to{SPACE}remember{SPACE}as{SPACE}middle{,}{SPACE}left{,}{SPACE}right{ENTER}"
"158",729,74,4,25,25,24,3,1,68,"{SHIFT}{SHIFT}I{SPACE}just{SPACE}tried{SPACE}to{SPACE}remember{SPACE}patterns{SPACE}in{SPACE}the{SPACE}melodies{SPACE}if{SPACE}any{SPACE}patterns{SPACE}existed{.}{ENTER}"
"159",730,56,9,17,17,22,6,3,32,"{CAPSLOCK}I{CAPSLOCK}{SPACE}tried{SPACE}to{SPACE}hum{SPACE}the{SPACE}tones{SPACE}{ENTER}"
"160",731,61,7,19,22,20,6,1,42,"i{SPACE}associated{SPACE}the{SPACE}tones{SPACE}with{SPACE}different{SPACE}fingers{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{-}{SPACE}low{SPACE}was{SPACE}my{SPACE}pointer{SPACE}finger{,}{SPACE}middle{SPACE}was{SPACE}my{SPACE}middle{SPACE}finger{,}{SPACE}and{SPACE}high{SPACE}was{SPACE}my{SPACE}ring{SPACE}finger{-}{SPACE}and{SPACE}pressed{SPACE}down{SPACE}the{SPACE}appropriate{SPACE}finger{SPACE}when{SPACE}that{SPACE}tone{SPACE}was{SPACE}playing{SPACE}like{SPACE}on{SPACE}a{SPACE}piano{SPACE}and{SPACE}{CAPSLOCK}I{CAPSLOCK}{SPACE}tapped{SPACE}out{SPACE}the{SPACE}pattern{SPACE}inbetween{SPACE}the{SPACE}math{SPACE}questions{SPACE}to{SPACE}remember{SPACE}them{.}{ENTER}"
"161",732,71,3,24,22,25,2,1,55,"associated{SPACE}the{SPACE}note{SPACE}patterns{SPACE}with{SPACE}finger{SPACE}patterns{.}{SPACE}the{SPACE}fingers{SPACE}became{SPACE}secondary{,}{SPACE}which{SPACE}allowed{SPACE}me{SPACE}to{SPACE}focus{SPACE}on{SPACE}the{SPACE}math{.}{ENTER}"
"162",733,51,20,16,16,19,17,3,18,"{SHIFT}In{SPACE}between{SPACE}math{SPACE}problems{SPACE}{SHIFT}I{SPACE}tried{SPACE}to{SPACE}mentally{SPACE}repeat{SPACE}all{SPACE}the{SPACE}tones{SPACE}{SHIFT}I{SPACE}already{SPACE}heard{SPACE}up{SPACE}until{SPACE}that{SPACE}point{ENTER}"
"163",734,46,7,16,18,12,6,1,24,"just{SPACE}memorization{SPACE}of{SPACE}melodic{SPACE}tones{SPACE}and{SPACE}matching{SPACE}the{SPACE}order{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"164",735,67,1,25,19,23,1,0,62,"{SHIFT}{SHIFT}As{SPACE}{SHIFT}I{SPACE}went{SPACE}from{SPACE}problem{SPACE}to{SPACE}problem{,}{SPACE}{SHIFT}I{SPACE}replayed{SPACE}the{SPACE}previous{SPACE}notes{SPACE}in{SPACE}my{SPACE}hea{LEFTARROW}{LEFTARROW}{LEFTARROW}{LEFTARROW}{LEFTARROW}{LEFTARROW}d{.}{ENTER}"
"165",736,55,18,18,13,24,17,1,30,"{SHIFT}I{SPACE}memorized{SPACE}the{SPACE}solfedge{SPACE}of{SPACE}the{SPACE}notes{SPACE}{SHIFT}{(}{SHIFT}G{/}{SHIFT}F{SHIFT}{#}{/}f{SHIFT}{SHIFT}{)}{SHIFT}{)}{ENTER}"
"166",737,22,9,12,4,6,8,1,3,"{SHIFT}{SHIFT}Repeated{SPACE}the{SPACE}name{SPACE}of{SPACE}the{SPACE}tone{SPACE}{SHIFT}{SPACE}after{SPACE}each{SPACE}time{SPACE}it{SPACE}was{SPACE}played{.}{ENTER}"
"167",738,48,12,18,12,18,10,2,24,"tried{SPACE}rehearsing{SPACE}l{,}m{,}h{SPACE}patterns{SPACE}or{SPACE}1{,}2{,}3{SPACE}patterns{.}{SPACE}also{SPACE}tapped{SPACE}fingers{SPACE}ordered{SPACE}123{SPACE}in{SPACE}the{SPACE}pattern{SPACE}the{SPACE}tones{SPACE}played{ENTER}"
"168",739,67,7,20,25,22,4,3,57,"{SHIFT}I{SPACE}came{SPACE}up{SPACE}with{SPACE}a{SPACE}system{SPACE}that{SPACE}added{SPACE}each{SPACE}different{SPACE}register{SPACE}played{SPACE}and{SPACE}would{SPACE}repeat{SPACE}it{SPACE}back{SPACE}to{SPACE}myself{SPACE}as{SPACE}each{SPACE}new{SPACE}pitch{SPACE}was{SPACE}added{ENTER}"
"169",740,71,3,21,25,25,3,0,62,"{SHIFT}{SHIFT}I{SPACE}pictured{SPACE}the{SPACE}three{SPACE}boxes{SPACE}and{SPACE}after{SPACE}every{SPACE}tone{SPACE}would{SPACE}go{SPACE}back{SPACE}and{SPACE}add{SPACE}it{SPACE}after{SPACE}the{SPACE}ones{SPACE}prior{.}{SPACE}{ENTER}"
"170",741,70,5,23,25,22,4,1,57,"{SHIFT}I{SPACE}created{SPACE}signals{SPACE}on{SPACE}my{SPACE}fingers{SPACE}to{SPACE}indicate{SPACE}the{SPACE}pitches{SPACE}in{SPACE}order{SPACE}to{SPACE}retain{SPACE}their{SPACE}order{.}{ENTER}"
"171",742,72,4,24,25,23,4,0,62,"{SHIFT}I{SPACE}kept{SPACE}repeating{SPACE}{SHIFT}{QUOTE}low{,}{SPACE}high{,}{SPACE}or{SPACE}middle{SHIFT}{QUOTE}{SPACE}in{SPACE}as{SPACE}{SHIFT}I{SPACE}completed{SPACE}the{SPACE}math{SPACE}problems{SPACE}in{SPACE}the{SPACE}order{SPACE}presented{.}{ENTER}"
"172",900,64,5,24,17,23,4,1,53,"assigned{SPACE}each{SPACE}note{SPACE}a{SPACE}finger{SPACE}and{SPACE}would{SPACE}press{SPACE}it{SPACE}like{SPACE}a{SPACE}piano{SPACE}or{SPACE}keyboard{SPACE}when{SPACE}it{SPACE}was{SPACE}made{,}{SPACE}and{SPACE}then{SPACE}remember{SPACE}the{SPACE}order{.}{SPACE}{SPACE}{SHIFT}Also{,}{SPACE}{SHIFT}I{SPACE}would{SPACE}repeat{SPACE}the{SPACE}orders{SPACE}aloud{SPACE}{SHIFT}{.}{ENTER}"
"173",901,40,6,15,20,5,5,1,21,"{SHIFT}After{SPACE}{SHIFT}I{SPACE}heard{SPACE}the{SPACE}sound{SPACE}{SHIFT}I{SPACE}would{SPACE}say{SPACE}{SHIFT}{QUOTE}low{SPACE}high{SPACE}{SPACE}or{SPACE}medium{SPACE}in{SPACE}my{SPACE}head{.}{SPACE}{SHIFT}{SHIFT}But{SPACE}eventually{SPACE}{SHIFT}I{SPACE}would{SPACE}forget{SPACE}after{SPACE}about{SPACE}4{SPACE}{ENTER}"
"174",902,38,6,9,18,11,4,2,7,"{SHIFT}I{SPACE}recited{SPACE}in{SPACE}my{SPACE}head{SPACE}either{SPACE}{SHIFT}L{,}{SHIFT}M{,}or{SHIFT}{SPACE}H{SPACE}to{SPACE}remember{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}tones{SPACE}because{SPACE}it{SPACE}is{SPACE}easier{SPACE}than{SPACE}saying{SPACE}low{,}{SPACE}medium{,}{SPACE}or{SPACE}high{.}{SPACE}{ENTER}"
"175",903,69,3,23,24,22,2,1,57,"after{SPACE}each{SPACE}tone{SPACE}i{SPACE}kept{SPACE}repeating{SPACE}which{SPACE}tone{SPACE}was{SPACE}played{ENTER}"
"176",904,31,9,8,11,12,7,2,6,"{ENTER}"
"177",905,46,7,15,18,13,6,1,24,"{SHIFT}I{SPACE}{SHIFT}Repeated{SPACE}{SHIFT}{(}ex{.}lo{SHIFT}{SHIFT}{SHIFT}ex{.}low{SPACE}medium{SPACE}high{SPACE}in{SPACE}my{SPACE}head{SPACE}as{SPACE}i{SPACE}was{SPACE}doing{SPACE}the{SPACE}problems{ENTER}"
"178",906,42,7,14,12,16,7,0,15,"using{SPACE}fingers{SPACE}to{SPACE}keep{SPACE}track{ENTER}"
