subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal
500,6,7,62,72,24,25,23,1,3,5,63,69,20,25,24,2,3,3,17,25,9,8,8,6
501,2,2,41,57,17,19,21,0,1,2,49,64,18,23,23,1,1,0,22,29,10,12,7,1
502,2,3,48,65,22,19,24,1,3,3,63,68,18,25,25,0,2,0,20,28,10,10,8,2
503,0,4,46,64,25,18,21,4,1,3,27,50,12,21,17,2,4,1,10,26,11,7,8,5
504,9,12,62,73,24,25,24,3,12,12,38,63,22,23,18,0,2,1,11,25,10,7,8,3
505,1,1,3,15,4,9,2,0,4,7,21,26,15,10,1,3,0,0,3,14,3,3,8,0
506,6,6,51,59,16,25,18,0,6,9,43,64,21,21,22,3,1,0,28,36,14,9,13,1
507,2,2,62,71,25,25,21,0,3,8,60,68,25,20,23,5,1,0,23,32,13,10,9,1
508,4,5,28,56,21,19,16,1,3,7,55,62,17,25,20,4,0,0,29,35,8,13,14,0
509,7,7,45,63,18,22,23,0,4,5,65,71,21,25,25,1,1,3,20,35,12,10,13,4
510,2,2,23,48,15,18,15,0,0,0,28,50,15,17,18,0,2,0,17,26,11,6,9,2
511,2,4,61,68,20,25,23,2,4,5,68,74,25,24,25,1,2,1,10,21,6,8,7,3
512,5,8,43,58,18,18,22,3,3,4,57,67,24,18,25,1,3,2,20,28,12,10,6,5
513,4,4,69,73,23,25,25,0,5,5,52,66,25,18,23,0,0,1,30,39,12,13,14,1
514,5,6,56,63,16,22,25,1,8,10,38,58,14,20,24,2,0,0,33,38,12,12,14,0
515,3,5,43,62,20,23,19,2,2,2,75,75,25,25,25,0,0,1,32,35,10,14,11,1
516,4,5,47,64,20,20,24,1,3,4,37,59,22,15,22,1,2,4,9,12,5,3,4,6
517,1,1,55,68,23,20,25,0,2,2,75,75,25,25,25,0,1,0,28,36,11,13,12,1
518,2,2,39,65,18,23,24,0,2,2,42,59,19,23,17,0,1,1,28,34,12,14,8,2
519,1,2,52,66,17,25,24,1,2,4,55,62,21,20,21,2,1,0,23,32,9,12,11,1
520,5,7,48,67,21,22,24,2,2,3,55,68,22,25,21,1,2,0,19,30,13,11,6,2
521,5,6,22,60,20,19,21,1,7,8,40,62,22,23,17,1,0,0,25,33,12,12,9,0
522,2,3,63,69,25,19,25,1,2,3,51,68,22,22,24,1,0,0,38,41,13,14,14,0
523,5,5,43,61,18,20,23,0,5,8,49,64,20,22,22,3,4,0,20,31,7,12,12,4
524,2,2,26,50,10,19,21,0,4,5,43,59,23,18,18,1,3,4,11,17,4,6,7,7
525,2,3,49,68,20,24,24,1,3,7,38,51,19,14,18,4,3,0,32,39,13,12,14,3
526,11,11,19,57,17,18,22,0,7,7,42,60,20,20,20,0,2,0,22,35,12,11,12,2
527,8,9,29,49,17,10,22,1,3,3,43,59,18,17,24,0,0,1,19,28,8,12,8,1
528,2,3,44,64,23,18,23,1,3,6,45,59,17,20,22,3,0,4,33,40,14,12,14,4
529,6,8,28,57,18,17,22,2,1,1,61,70,22,23,25,0,0,0,24,31,13,12,6,0
530,2,2,56,69,21,23,25,0,4,5,34,51,17,20,14,1,3,1,21,32,11,9,12,4
531,5,7,66,70,23,22,25,2,5,7,54,65,20,22,23,2,1,2,28,37,11,13,13,3
532,5,5,22,47,12,13,22,0,6,6,50,61,19,25,17,0,0,0,11,22,6,9,7,0
533,5,9,51,64,20,20,24,4,3,8,54,70,24,23,23,5,1,0,36,38,14,12,12,1
534,2,7,42,63,19,22,22,5,1,1,62,72,23,25,24,0,0,0,33,39,11,14,14,0
535,3,3,18,44,17,12,15,0,0,0,35,52,15,14,23,0,1,0,13,21,8,5,8,1
536,4,5,49,69,22,22,25,1,3,5,55,63,25,20,18,2,2,1,28,35,12,13,10,3
537,6,7,32,50,19,16,15,1,1,1,34,52,21,15,16,0,10,0,0,15,6,3,6,10
538,4,5,17,52,14,19,19,1,8,22,21,45,18,16,11,14,1,1,22,28,11,10,7,2
539,7,10,57,66,17,24,25,3,4,4,64,72,25,24,23,0,2,1,24,37,13,13,11,3
540,2,3,48,67,21,23,23,1,5,6,33,49,21,16,12,1,2,0,37,40,12,14,14,2
541,0,1,31,57,19,19,19,1,1,1,69,73,25,23,25,0,3,3,30,37,14,11,12,6
542,3,4,68,74,24,25,25,1,1,1,63,71,21,25,25,0,1,2,28,39,14,13,12,3
543,3,6,7,30,10,11,9,3,5,5,42,67,21,22,24,0,0,0,13,26,8,12,6,0
544,1,1,30,52,14,21,17,0,4,6,55,67,19,23,25,2,5,1,16,25,11,7,7,6
545,7,8,51,65,23,21,21,1,5,6,57,70,25,22,23,1,1,1,30,39,12,13,14,2
546,4,6,4,24,10,7,7,2,5,6,22,37,15,18,4,1,17,0,0,7,3,3,1,17
547,11,13,21,43,16,8,19,2,6,10,8,16,5,10,1,4,1,0,24,32,13,10,9,1
548,8,9,51,61,19,17,25,1,6,8,31,53,19,14,20,2,1,1,16,26,8,13,5,2
549,7,8,61,72,24,25,23,1,1,2,75,75,25,25,25,1,0,2,27,33,11,12,10,2
550,3,4,64,70,20,25,25,1,3,5,47,68,23,22,23,2,1,0,25,31,6,14,11,1
551,1,1,68,74,25,24,25,0,3,3,68,74,24,25,25,0,1,3,23,34,12,11,11,4
552,1,2,61,71,25,24,22,1,3,5,68,73,25,25,23,2,1,2,27,34,13,9,12,3
553,1,3,34,55,17,18,20,2,1,6,68,74,25,25,24,5,0,0,25,33,7,12,14,0
554,0,0,56,64,19,20,25,0,1,1,39,61,21,21,19,0,0,1,28,36,13,13,10,1
555,4,4,33,59,19,21,19,0,6,9,34,51,23,14,14,3,0,0,24,28,11,7,10,0
556,7,10,15,43,11,13,19,3, , , , , , , , ,4,1,9,25,9,6,10,5
700,3,4,50,65,20,25,20,1,1,2,46,64,23,19,22,1,0,0,34,39,12,13,14,0
701,3,5,50,66,22,19,25,2,2,6,68,73,23,25,25,4,1,0,24,34,11,13,10,1
702,5,5,56,66,22,22,22,0,0,3,63,68,21,22,25,3,0,0,27,36,13,11,12,0
703,7,10,61,69,22,22,25,3,4,5,55,69,21,23,25,1,0,2,26,36,12,11,13,2
704,5,5,46,63,19,25,19,0,5,6,15,46,8,16,22,1,1,0,20,28,8,9,11,1
705,7,10,39,53,17,16,20,3,2,4,26,57,17,17,23,2,4,0,35,39,14,11,14,4
706,4,5,51,63,17,22,24,1,3,7,26,42,7,19,16,4,0,0,19,31,10,12,9,0
707,2,3,45,62,18,21,23,1,5,5,56,71,23,25,23,0,1,0,32,35,14,12,9,1
708,8,9,23,50,15,17,18,1,8,10,42,58,22,18,18,2,3,1,15,27,6,12,9,4
709,3,4,50,61,25,21,15,1,2,7,63,67,25,18,24,5,2,0,27,36,13,11,12,2
710,5,7,4,35,12,14,9,2,3,6,58,72,24,25,23,3,3,0,17,26,9,11,6,3
711,4,4,29,49,13,16,20,0,8,8,45,58,18,20,20,0,3,1,7,21,7,9,5,4
712,4,8,30,57,17,16,24,4,4,8,3,21,11,5,5,4,4,2,0,11,4,4,3,6
713,4,4,40,59,15,19,25,0,1,2,63,68,25,19,24,1,1,4,16,28,9,7,12,5
714,5,5,50,57,13,23,21,0,5,8,33,59,20,22,17,3,3,0,42,42,14,14,14,3
715,5,5,75,75,25,25,25,0,2,7,44,65,19,24,22,5,1,0,31,37,13,11,13,1
716,3,5,54,66,24,21,21,2,6,11,45,57,15,24,18,5,2,0,25,33,14,9,10,2
717,4,5,49,61,25,18,18,1,0,2,37,61,16,24,21,2,4,1,21,28,9,10,9,5
718,2,4,38,55,19,19,17,2,8,9,25,47,12,17,18,1,0,2,20,30,10,7,13,2
719,3,3,50,68,21,22,25,0,2,5,52,64,21,22,21,3,1,1,38,39,11,14,14,2
720,2,5,37,63,20,21,22,3,2,2,75,75,25,25,25,0,0,0,33,38,10,14,14,0
721,4,6,41,60,19,20,21,2,2,3,75,75,25,25,25,1,10,6,2,11,5,2,4,16
722,6,9,61,69,22,22,25,3,2,2,69,73,23,25,25,0,1,0,37,39,11,14,14,1
723,4,6,47,61,16,20,25,2,7,17,29,38,15,19,4,10,0,2,18,32,9,13,10,2
724,5,6,43,62,20,23,19,1,4,4,42,61,21,20,20,0,3,0,22,32,13,12,7,3
725,1,4,62,67,22,25,20,3,2,5,55,66,19,25,22,3,2,1,29,38,13,13,12,3
726,3,3,33,58,16,20,22,0,4,6,37,58,20,18,20,2,0,0,13,22,6,6,10,0
727,4,6,58,69,22,22,25,2,8,10,7,38,16,8,14,2,2,1,15,23,10,8,5,3
728,2,3,50,63,17,21,25,1,2,2,61,72,23,24,25,0,2,0,15,26,7,7,12,2
729,3,4,68,74,25,25,24,1,1,1,59,70,25,22,23,0,1,0,38,40,14,12,14,1
730,6,9,32,56,17,17,22,3,3,5,35,59,23,18,18,2,7,0,20,28,7,10,11,7
731,6,7,42,61,19,22,20,1,5,5,43,57,15,18,24,0,0,1,14,24,7,8,9,1
732,2,3,55,71,24,22,25,1,2,4,63,71,25,22,24,2,1,1,32,36,10,14,12,2
733,17,20,18,51,16,16,19,3,6,15,22,43,23,16,4,9,5,0,23,36,12,13,11,5
734,6,7,24,46,16,18,12,1,5,5,39,54,19,18,17,0,15,3,2,5,2,1,2,18
735,1,1,62,67,25,19,23,0,2,2,68,73,23,25,25,0,1,3,2,13,6,1,6,4
736,17,18,30,55,18,13,24,1,14,14,40,59,23,19,17,0,4,1,34,38,14,13,11,5
737,8,9,3,22,12,4,6,1,5,5,0,6,1,3,2,0,3,0,0,9,3,4,2,3
738,10,12,24,48,18,12,18,2,6,7,54,62,22,20,20,1,3,0,6,23,9,6,8,3
739,4,7,57,67,20,25,22,3,2,11,62,70,24,25,21,9,0,1,25,35,9,13,13,1
740,3,3,62,71,21,25,25,0,3,5,58,69,24,24,21,2,1,1,37,39,14,14,11,2
741,4,5,57,70,23,25,22,1,7,7,44,65,21,24,20,0,4,0,26,34,12,13,9,4
742,4,4,62,72,24,25,23,0,7,12,62,68,19,25,24,5,1,1,27,37,11,13,13,2
900,4,5,53,64,24,17,23,1,1,4,37,63,20,21,22,3,2,0,23,37,12,12,13,2
901,5,6,21,40,15,20,5,1,11,15,53,59,23,22,14,4,1,4,16,26,8,8,10,5
902,4,6,7,38,9,18,11,2,2,3,58,70,24,25,21,1,4,0,15,27,8,8,11,4
903,2,3,57,69,23,24,22,1,1,1,62,71,25,21,25,0,0,1,25,31,6,12,13,1
904,7,9,6,31,8,11,12,2,9,11,10,29,12,5,12,2,3,1,17,29,9,11,9,4
905,6,7,24,46,15,18,13,1,2,5,19,41,12,12,17,3,2,1,14,24,8,8,8,3
906,7,7,15,42,14,12,16,0,5,6,28,48,11,21,16,1,1,0,20,31,8,10,13,1
907,2,4,61,71,24,22,25,2,3,3,75,75,25,25,25,0,0,0,38,40,14,12,14,0
908,5,5,47,57,17,16,24,0,4,4,55,67,18,24,25,0,0,1,20,27,10,12,5,1
909,7,9,37,60,15,22,23,2,8,15,4,29,14,11,4,7,5,2,19,27,6,12,9,7
910,3,3,11,45,16,17,12,0,5,5,48,61,22,18,21,0,3,0,11,23,7,9,7,3
911,5,6,20,39,8,17,14,1,3,4,19,39,12,18,9,1,0,0,2,15,4,5,6,0
912,1,3,7,20,9,5,6,2,2,4,0,6,4,1,1,2,1,2,0,8,2,2,4,3
913,3,7,0,22,5,8,9,4,3,3,24,41,10,16,15,0,1,0,4,16,7,3,6,1
914,3,3,22,47,17,14,16,0,2,2,55,65,18,22,25,0,2,3,7,22,8,5,9,5
915,6,6,19,53,16,18,19,0,7,8,55,67,24,18,25,1,2,0,7,25,8,8,9,2
916,4,5,21,52,18,19,15,1,7,12,3,12,3,9,0,5,1,0,4,15,3,5,7,1
917,0,1,28,56,19,20,17,1,2,2,43,56,20,15,21,0,3,0,29,37,14,12,11,3
918,2,4,9,36,17,8,11,2,12,15,23,38,14,10,14,3,4,1,9,17,10,3,4,5
919,2,3,15,41,18,14,9,1,3,4,19,33,14,6,13,1,3,1,4,9,4,4,1,4
920,0,1,45,65,23,23,19,1,3,3,56,66,23,25,18,0,1,0,29,33,10,11,12,1
921,3,3,35,53,17,11,25,0,4,4,63,73,24,24,25,0,1,0,16,24,10,8,6,1
922,2,9,37,58,20,21,17,7,5,11,21,39,18,12,9,6,1,0,12,20,8,6,6,1
923,5,8,23,51,15,20,16,3,3,10,60,67,20,24,23,7,12,0,12,25,10,9,6,12
924,3,4,44,64,21,21,22,1,2,2,69,74,25,24,25,0,0,0,19,34,12,12,10,0
925,3,7,6,37,12,11,14,4,4,6,13,26,17,4,5,2,3,0,7,20,6,10,4,3
926,5,11,32,53,16,19,18,6,2,2,39,59,20,21,18,0,0,2,19,34,10,10,14,2
927,1,2,14,37,16,9,12,1,3,4,26,44,22,15,7,1,8,3,10,16,6,5,5,11
928,5,5,38,60,24,20,16,0,2,3,45,67,24,22,21,1,2,0,13,28,10,9,9,2
929,2,4,38,61,22,21,18,2,3,3,48,64,19,24,21,0,3,1,12,20,6,6,8,4
930,4,8,43,58,13,25,20,4,2,2,56,69,20,24,25,0,7,0,24,30,9,13,8,7
931,23,24,17,43,15,12,16,1,9,11,25,45,18,15,12,2,2,0,15,25,9,9,7,2
932,7,9,17,36,10,17,9,2,8,11,6,24,12,8,4,3,4,1,8,26,7,7,12,5
933,8,9,14,45,11,15,19,1,10,13,34,44,13,13,18,3,8,0,18,26,8,8,10,8
934,1,1,6,23,9,7,7,0,2,2,0,10,4,1,5,0,0,0,0,4,2,1,1,0
935,0,2,28,54,18,20,16,2,1,6,38,58,17,22,19,5,2,2,13,26,7,9,10,4
936,6,7,12,37,8,13,16,1,3,5,6,21,8,2,11,2,3,0,7,13,7,3,3,3
937,2,2,29,62,23,18,21,0,1,2,69,73,25,23,25,1,0,1,20,33,10,13,10,1
938,6,7,3,34,10,9,15,1,5,5,4,17,7,7,3,0,1,0,8,18,6,7,5,1
939,5,5,57,64,25,16,23,0,4,4,34,64,20,22,22,0,1,0,15,33,9,12,12,1
940,2,3,19,40,14,10,16,1,3,4,13,29,10,17,2,1,0,2,6,17,7,5,5,2
941,3,3,10,36,10,15,11,0,3,5,6,29,14,5,10,2,2,0,5,12,4,4,4,2
942,3,3,13,33,11,9,13,0,6,8,33,45,13,16,16,2,3,0,16,26,11,8,7,3
943,3,3,21,48,15,11,22,0,2,2,32,54,15,23,16,0,3,0,6,15,10,4,1,3
944,7,8,45,66,24,22,20,1,7,7,51,64,22,17,25,0,4,0,23,30,8,12,10,4
945,4,7,28,44,8,17,19,3,2,3,34,55,18,19,18,1,6,1,8,17,9,5,3,7
946,11,12,8,29,11,5,13,1,1,2,20,40,10,14,16,1,1,0,12,31,11,10,10,1
947,5,6,10,46,7,19,20,1,7,16,27,54,21,16,17,9,5,0,23,31,11,10,10,5
948,6,9,38,63,22,19,22,3,6,8,40,63,21,19,23,2,9,4,11,28,8,9,11,13
949,2,3,41,58,15,21,22,1,3,4,40,62,23,20,19,1,3,1,12,25,7,9,9,4
950,3,4,4,21,11,5,5,1,4,5,0,17,7,4,6,1,10,0,0,2,0,1,1,10
951,5,5,16,47,18,12,17,0,10,11,4,22,8,8,6,1,2,0,15,21,8,6,7,2
952,3,5,40,63,20,24,19,2,4,10,49,64,16,23,25,6,2,2,24,34,11,11,12,4
953,8,8,22,41,8,15,18,0,6,9,27,56,16,17,23,3,3,0,12,23,5,8,10,3
954,5,5,0,16,5,5,6,0,5,7,11,28,11,16,1,2,2,1,7,20,10,5,5,3
955,9,10,0,16,13,1,2,1,7,8,3,12,8,1,3,1,1,1,9,21,8,7,6,2
956,3,7,10,31,10,9,12,4,7,7,42,56,18,16,22,0,8,1,14,25,8,10,7,9
957,3,3,16,45,12,20,13,0,1,2,48,65,21,23,21,1,2,0,37,40,14,14,12,2
958,5,7,18,29,10,7,12,2,1,3,29,47,15,15,17,2,4,0,12,20,9,6,5,4
959,3,5,39,62,16,23,23,2,2,12,6,42,13,15,14,10,4,0,13,27,8,9,10,4
960,1,1,27,51,17,20,14,0,5,6,20,45,16,12,17,1,10,2,7,14,7,2,5,12
961,5,6,0,23,8,7,8,1,1,1,0,2,0,1,1,0,7,13,11,15,6,5,4,20
962,1,2,12,30,13,12,5,1,2,7,32,56,20,21,15,5,20,1,9,14,3,6,5,21
963,3,4,32,59,21,20,18,1,0,0,61,71,25,23,23,0,1,1,30,36,12,10,14,2
964,4,5,31,52,18,14,20,1,1,2,68,72,22,25,25,1,12,0,2,10,3,4,3,12
965,3,4,0,34,9,13,12,1,2,6,26,50,15,15,20,4,1,0,23,31,11,11,9,1
966,1,1,40,56,17,22,17,0,7,7,63,72,25,24,23,0,3,2,37,40,12,14,14,5
967,10,10,16,37,12,15,10,0,4,4,14,27,5,13,9,0,7,0,16,31,12,10,9,7
968,8,10,25,47,17,14,16,2,11,19,19,45,13,17,15,8,3,0,20,30,7,11,12,3
969,4,5,42,57,19,16,22,1,7,8,12,39,14,11,14,1,0,0,13,27,8,9,10,0
970,35,36,19,36,11,14,11,1,25,29,48,56,25,21,10,4,17,0,28,35,11,10,14,17
971,9,11,25,52,12,20,20,2,9,10,61,66,20,21,25,1,4,0,25,32,14,9,9,4
972,0,2,18,50,14,17,19,2,5,8,18,44,14,18,12,3,1,1,29,34,13,11,10,2
973,5,8,32,64,23,20,21,3,8,10,42,59,18,20,21,2,4,0,13,20,6,6,8,4
974,5,6,40,55,21,16,18,1,4,4,3,14,3,8,3,0,6,2,2,4,3,1,0,8
975,5,5,30,61,22,17,22,0,7,7,54,71,24,23,24,0,2,2,5,15,6,6,3,4
976,6,10,0,34,14,7,13,4,7,10,18,38,13,16,9,3,5,1,9,19,7,3,9,6
977,2,2,51,68,21,22,25,0,0,0,63,71,23,23,25,0,2,1,37,41,14,14,13,3
978,2,2,23,52,14,17,21,0,1,1,30,57,20,14,23,0,3,0,16,25,10,6,9,3
979,3,5,20,42,13,15,14,2,5,7,0,8,5,1,2,2,4,1,2,10,4,3,3,5
980,3,3,0,0,0,0,0,0,6,9,23,29,18,11,0,3,1,0,16,29,8,9,12,1
981,3,6,15,49,18,19,12,3,1,9,37,58,21,16,21,8,0,0,20,30,13,9,8,0
982,2,5,42,66,22,21,23,3,1,1,75,75,25,25,25,0,3,3,11,22,10,7,5,6
983,1,2,32,57,20,15,22,1,5,12,7,30,12,13,5,7,0,1,14,26,9,9,8,1
984,4,4,36,54,14,15,25,0,4,7,41,62,15,23,24,3,3,1,14,25,7,6,12,4
985,2,5,9,41,11,15,15,3,5,6,61,69,21,25,23,1,3,3,7,17,6,6,5,6
986,2,2,7,25,11,8,6,0,4,4,3,18,8,6,4,0,2,1,2,8,0,5,3,3
987,4,4,6,33,10,10,13,0,5,9,12,26,13,1,12,4,3,0,28,39,13,13,13,3
988,5,7,32,50,17,14,19,2,3,4,56,68,20,23,25,1,1,0,20,30,10,9,11,1
1001,4,5,32,47,13,17,17,1,3,5,27,43,15,12,16,2,1,0,30,37,14,10,13,1
1002,3,4,51,64,25,19,20,1,2,5,47,58,21,24,13,3,4,0,23,36,12,12,12,4
1003,1,4,26,60,21,19,20,3,1,3,56,67,22,25,20,2,0,0,22,32,12,7,13,0
1004,1,1,61,73,24,24,25,0,1,5,62,70,23,22,25,4,0,1,28,37,13,12,12,1
1005,4,4,25,50,13,16,21,0,2,2,30,57,18,16,23,0,0,0,29,36,12,10,14,0
1006,6,8,50,65,22,20,23,2,2,3,61,71,23,25,23,1,1,6,9,28,10,8,10,7
1007,5,5,3,7,1,3,3,0,8,15,12,15,14,1,0,7,4,0,22,26,11,6,9,4
1008,4,5,65,71,23,25,23,1,2,2,59,70,24,25,21,0,1,0,28,34,13,12,9,1
1009,6,6,8,30,9,8,13,0,3,5,38,56,21,16,19,2,4,0,17,25,8,11,6,4
1010,4,5,49,65,19,23,23,1,3,3,75,75,25,25,25,0,0,1,37,41,13,14,14,1
1011,4,4,3,34,11,14,9,0,5,6,24,41,16,17,8,1,2,0,17,26,13,7,6,2
1012,4,5,21,59,20,19,20,1,7,9,32,53,18,12,23,2,1,0,12,24,10,6,8,1
1013,5,7,37,62,20,23,19,2,2,2,56,67,21,25,21,0,3,0,37,38,14,14,10,3
1014,1,5,16,38,11,11,16,4,5,5,46,65,20,24,21,0,3,0,7,21,6,6,9,3
1015,1,1,23,56,19,18,19,0,1,2,68,74,25,25,24,1,2,1,22,32,13,11,8,3
1016,8,9,0,24,8,7,9,1,2,5,32,53,19,16,18,3,2,1,8,20,8,9,3,3
1017,7,13,15,45,14,18,13,6,10,14,24,52,15,22,15,4,1,1,12,28,11,9,8,2
1018,3,4,24,46,18,11,17,1,5,5,62,67,21,25,21,0,1,0,14,29,9,10,10,1
1019,1,2,15,33,9,12,12,1,5,5,4,37,16,11,10,0,1,2,7,19,6,9,4,3
1020,5,8,19,56,17,19,20,3,3,7,49,61,20,19,22,4,3,1,20,26,9,11,6,4
1021,18,19,10,42,16,11,15,1,17,18,29,51,18,14,19,1,4,1,4,19,7,6,6,5
1022,7,9,45,63,17,25,21,2,2,3,30,51,15,17,19,1,0,0,22,33,14,8,11,0
1023,8,9,24,47,18,15,14,1,8,8,35,54,17,15,22,0,3,0,13,22,8,8,6,3
1024,2,3,28,56,19,15,22,1,4,4,72,74,24,25,25,0,1,2,22,32,9,13,10,3
1025,2,5,31,54,16,20,18,3,2,2,31,44,17,12,15,0,0,0,12,24,10,6,8,0
1026,2,2,51,67,22,22,23,0,4,5,51,60,21,25,14,1,2,1,7,18,5,7,6,3
1027,2,2,17,40,13,13,14,0,0,0,9,32,9,11,12,0,2,1,6,17,3,7,7,3
1028,4,7,29,47,9,20,18,3,3,6,28,54,17,19,18,3,2,0,12,25,8,6,11,2
1029,2,3,14,46,17,14,15,1,2,6,37,61,21,18,22,4,1,1,7,16,3,5,8,2
1030,3,3,23,55,18,17,20,0,5,6,40,63,17,23,23,1,4,0,16,23,6,11,6,4
1031,6,6,0,11,6,5,0,0,3,4,13,23,5,5,13,1,2,0,2,9,4,3,2,2
1032,7,9,26,45,12,20,13,2,12,21,42,55,25,10,20,9,4,2,7,25,9,8,8,6
1033,6,7,44,68,21,24,23,1,2,5,68,72,25,22,25,3,1,0,30,36,14,11,11,1
1034,5,5,37,49,14,12,23,0,2,4,28,55,22,14,19,2,3,0,14,24,9,7,8,3
1035,2,3,41,58,20,20,18,1,4,5,54,68,25,25,18,1,0,0,28,33,10,13,10,0
1036,1,2,55,68,23,24,21,1,2,4,49,65,25,19,21,2,1,0,23,31,10,10,11,1
1037,5,6,24,42,9,17,16,1,2,6,25,46,19,13,14,4,1,0,9,25,9,5,11,1
1038,4,9,19,50,13,18,19,5,7,7,68,74,25,24,25,0,2,4,12,30,9,10,11,6
1039,6,7,37,61,21,21,19,1,3,5,61,68,20,23,25,2,1,0,28,38,13,11,14,1
1040,2,4,42,56,20,20,16,2, , , , , , , , ,1,0,19,31,7,12,12,1
1041,0,3,38,66,23,20,23,3, , , , , , , , ,6,2,11,27,12,5,10,8
1042,5,6,53,65,25,19,21,1,3,3,68,73,25,23,25,0,1,0,29,37,12,13,12,1
1043,2,2,8,46,12,18,16,0,0,0,50,64,20,22,22,0,1,1,16,28,9,9,10,2
1044,2,4,18,39,14,16,9,2,1,5,57,64,19,23,22,4,1,1,15,22,4,8,10,2
1045,6,6,7,28,8,8,12,0,8,9,0,12,9,1,2,1,3,1,7,16,4,4,8,4
1046,8,9,50,61,18,19,24,1,2,3,37,58,20,19,19,1,5,1,16,30,11,8,11,6
1047,2,3,50,66,23,20,23,1,3,3,33,59,18,24,17,0,1,0,27,32,10,10,12,1
1048,3,4,28,49,16,15,18,1,2,6,61,70,24,21,25,4,1,0,18,29,9,8,12,1
1049,3,6,23,58,22,17,19,3,2,6,41,60,16,20,24,4,2,0,13,28,7,11,10,2
1050,4,6,50,62,18,21,23,2,4,4,8,25,14,4,7,0,2,3,8,18,6,9,3,5
1051,5,5,0,24,5,6,13,0,9,15,0,23,13,7,3,6,5,0,17,33,10,12,11,5
1052,3,6,33,58,18,19,21,3,7,13,24,54,22,16,16,6,1,0,35,40,13,13,14,1
1053,4,7,44,67,19,24,24,3,0,0,61,71,23,25,23,0,1,0,7,20,6,7,7,1
1054,2,3,44,63,21,19,23,1,3,4,68,70,25,20,25,1,2,0,25,31,11,10,10,2
1055,1,2,22,44,11,15,18,1,6,9,34,58,19,20,19,3,1,0,15,25,7,9,9,1
1056,3,5,27,44,12,17,15,2,2,2,50,67,23,21,23,0,0,0,17,30,10,9,11,0
1057,1,1,7,33,12,14,7,0,4,5,0,5,3,1,1,1,13,0,4,11,6,3,2,13
1058,4,4,10,35,14,9,12,0,5,5,24,49,11,18,20,0,2,0,7,22,7,6,9,2
1300,4,13,38,63,23,20,20,9,3,3,68,74,25,24,25,0,1,0,35,40,13,14,13,1
1301,2,2,46,65,18,22,25,0,3,4,61,71,22,24,25,1,4,1,32,39,12,13,14,5
1302,9,10,37,57,23,17,17,1,9,14,23,48,15,15,18,5,5,1,9,24,7,11,6,6
1303,1,1,63,71,23,23,25,0,4,6,42,54,15,23,16,2,2,0,29,36,12,14,10,2
1304,6,7,44,63,20,23,20,1,8,9,62,69,22,22,25,1,2,0,17,34,11,13,10,2
1305,4,6,50,60,19,22,19,2,9,11,24,40,20,11,9,2,5,0,19,29,6,12,11,5
1306,2,2,18,44,11,16,17,0,29,33,16,40,14,18,8,4,8,1,15,26,4,9,13,9
1307,1,1,37,55,22,22,11,0,2,4,44,62,23,21,18,2,1,0,20,30,10,9,11,1
1308,2,4,75,75,25,25,25,2,1,2,75,75,25,25,25,1,2,1,29,39,13,13,13,3
1309,0,0,70,72,22,25,25,0,4,4,75,75,25,25,25,0,1,0,35,38,13,11,14,1
1310,6,7,37,53,18,17,18,1,3,4,51,67,25,22,20,1,1,0,24,33,10,14,9,1
1311,3,4,38,49,16,13,20,1,4,4,49,65,22,21,22,0,1,2,23,31,11,11,9,3
1312,5,8,32,53,13,18,22,3,2,3,62,70,20,25,25,1,1,0,37,38,14,10,14,1
