rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,responses
2139,32,text,0,2141,0.0-0.0,534,
769,32,text,1,3911,0.0-1.0,534,
610,32,text,2,5522,0.0-2.0,534,
135429,,survey-likert,3,141961,0.0-3.0,534,"{""Q0"":""5"",""Q1"":""1"",""Q2"":""1"",""Q3"":""3"",""Q4"":""4"",""Q5"":""4"",""Q6"":""5"",""Q7"":""5"",""Q8"":""1"",""Q9"":""6""}"
164421,,survey-likert,4,307390,0.0-4.0,534,"{""Q0"":""2"",""Q1"":""4"",""Q2"":""1"",""Q3"":""2"",""Q4"":""4"",""Q5"":""5"",""Q6"":""4"",""Q7"":""5"",""Q8"":""3"",""Q9"":""5""}"
205544,,survey-likert,5,513940,0.0-5.0,534,"{""Q0"":""5"",""Q1"":""4"",""Q2"":""1"",""Q3"":""5"",""Q4"":""4"",""Q5"":""2"",""Q6"":""1"",""Q7"":""2"",""Q8"":""4"",""Q9"":""1"",""Q10"":""5""}"
192331,,survey-likert,6,707276,0.0-6.0,534,"{""Q0"":""2"",""Q1"":""1"",""Q2"":""4"",""Q3"":""1"",""Q4"":""3"",""Q5"":""2"",""Q6"":""1""}"
9915,,survey-text,7,718196,0.0-7.0,534,"{""Q0"":""voice""}"
26464,32,text,8,745662,0.0-8.0,534,
140700,,survey-likert,9,887372,0.0-9.0,534,"{""Q0"":""5"",""Q1"":""3"",""Q2"":""2"",""Q3"":""3"",""Q4"":""3"",""Q5"":""1"",""Q6"":""3"",""Q7"":""5"",""Q8"":""5"",""Q9"":""4"",""Q10"":""5"",""Q11"":""5"",""Q12"":""1"",""Q13"":""5""}"
52712,,survey-likert,10,941088,0.0-10.0,534,"{""Q0"":""5"",""Q1"":""5"",""Q2"":""5""}"
95887,,survey-likert,11,1037981,0.0-11.0,534,"{""Q0"":""1"",""Q1"":""0"",""Q2"":""0"",""Q3"":""1"",""Q4"":""0"",""Q5"":""0"",""Q6"":""1"",""Q7"":""0"",""Q8"":""0""}"
16899,,survey-text,12,1055883,0.0-12.0,534,"{""Q0"":""18"",""Q1"":""FEMALE""}"
4270,,survey-likert,13,1061155,0.0-13.0,534,"{""Q0"":""1""}"
3758,,survey-text,14,1065914,0.0-14.0,534,"{""Q0"":""""}"
18577,32,text,15,1085492,0.0-15.0,534,